Fund Name,Is it Hedge Fund or Private Equity or Neither one,Why you think that?
HBK Global Securities/CP GP,Hedge Fund,Hedge fund managed by HBK Capital Management
AUGUSTA FUND 1 LP,Hedge Fund,Hedge fund
BRIMSTSPC CHNSTABLEINCFD SP2,Hedge Fund,Hedge fund
ASHMORE LOCAL CURRENCY DEBT,Hedge Fund,Hedge fund specializing in local currency debt
MORGAN STANLEY AIP MULTI,Neither,Alternative investment platform
BRIA-BRIDGEWATER ALL WTH ST,Hedge Fund,Hedge fund by Bridgewater Associates
AG MORTGAGE VALUE P M F LP,Neither,Mortgage investment fund
GAM STRATA ALT INC,Hedge Fund,Hedge fund
SPX FD SPC THE SEG PT CAD EG,Hedge Fund,Hedge fund
Citadel GLB Eq MSTR FD/Gmra,Hedge Fund,Hedge fund by Citadel
IGNIS ABSOLUTE RETURN,Hedge Fund,Hedge fund
GRP III NEPTUNE LP,Hedge Fund,Hedge fund
Saba Capital MGT LP Group,Hedge Fund,Hedge fund
RIT CAPITAL PARTNERS PLC,Private Equity,Investment trust with private equity investments
TCC MAST MUL-STRAT FD L P,Hedge Fund,Hedge fund
EMSO AGV FD-EMSO CRC LG OF,Hedge Fund,Hedge fund
CAPULA TACTICAL MACRO MTR FD,Hedge Fund,Hedge fund
SOROS FD MGT LLC-JS CAPITAL,Hedge Fund,Hedge fund
ATLAS MACRO MASTER FUND LTD,Hedge Fund,Hedge fund
AHL PTNR-AM BCN FD-ABAMAF,Hedge Fund,Hedge fund
POINT72 LONDON INV LTD,Hedge Fund,Hedge fund
HARBOURVEST HARVEST FUND II,Private Equity,Private equity fund
DAVIDSON KEMPNER INT LTD,Hedge Fund,Hedge fund
GEMSSTOCK CAV MASTER LP,Hedge Fund,Hedge fund
HBFR le Fbo Hbeu Alg Ucits Re Afifc,Hedge Fund,Hedge fund
OCONNOR APE LG SHT MTR LTD,Hedge Fund,Hedge fund
TOR ASIA CREDIT MS FUND LP,Hedge Fund,Hedge fund
MAVERICK NLF LTD,Hedge Fund,Hedge fund
FIFTH STREET STATIN LLC G GKB,Private Equity,Private equity fund
IAM PRENTICE LONG/SHORT,Hedge Fund,Hedge fund
LA TROBE FI CAP MK TR 2020-1,Neither,Financial investment trust
GLOBAL OPPORTUNITIES FD AKNU,Hedge Fund,Hedge fund
ARKKAN OPPORTUNITIES FD GRP,Hedge Fund,Hedge fund
KKR-DUS EDL PARTNERS SCSP,Private Equity,Private equity fund by KKR
FIELD STREET MASTER FUND LTD,Hedge Fund,Hedge fund
New CPTL ALTtrve STS-NCMLS,Neither,Alternative investment strategy fund
JPS MOORE LE,Hedge Fund,Hedge fund
DRUCKENMILLER S,Hedge Fund,Hedge fund
FDVG EQUITY INVESTMENTS LT-P,Neither,Equity investment fund
RICHARD H SCHIMEL,Hedge Fund,Hedge fund
LINZOR CAPITAL PARTNERS II,Private Equity,Private equity firm
PAG ASIA OPP CB FD LP,Private Equity,Private equity fund
ANLLY,Neither,Not categorized
IFM GLOBAL INFRASTR AU TRUST,Private Equity,Private equity infrastructure fund
IMA IRELAND - MAP 501,Neither,Not categorized
FRANKLIN TEMPLTN IM-13115-CG,Neither,Investment management fund
IAM ELF ALPHA OPPORTUNITIES,Hedge Fund,Hedge fund
TCI LUX SARL,Hedge Fund,Hedge fund
BARING AS PRI EQ FD VIII LP,Private Equity,Private equity fund
VALUE PIF-JA-VP CHINA NEW CF,Neither,Investment fund
GALENE FUND,Hedge Fund,Hedge fund
FDVG LOW VOLATILITY INV LTD,Neither,Investment fund
MACROSYNERGY ARGENTINA MF,Hedge Fund,Hedge fund
PERMIRA VI,Private Equity,Private equity fund
HTHK-SAM GREATER CHINA EQUITY FUND,Neither,Equity fund
HTHK-SCHRODER UMBRELLA FUND II-SCHR,Neither,Investment fund
TD MOORE LP,Hedge Fund,Hedge fund
USS-4123S-Alt-Absl RTN-48404,Hedge Fund,Hedge fund
WARBURG PINCUS PRIV EQ IX LP,Private Equity,Private equity fund
QUBE FUND LTD,Hedge Fund,Hedge fund
AMER BCN AHL M F S FD S,Hedge Fund,Hedge fund
MOON CAP PER PLUS MAST,Hedge Fund,Hedge fund
FYI SARL,Neither,Not categorized
CAPITALIA HIGH VOLATILITY,Neither,Investment fund
CHILDRENS INVSTMT MASTER FD,Hedge Fund,Hedge fund
ARISAIG ASIA CONSUMER FD LTD,Hedge Fund,Hedge fund
NINE MASTS INVMT FD MF,Hedge Fund,Hedge fund
BLACKROCK IM (UK)-TAF-RE-CH,Hedge Fund,Hedge fund
QUBE MASTER FUND LTD,Hedge Fund,Hedge fund
BROAD STREET SNR CR PN OS LP,Hedge Fund,Hedge fund
Millennium Global CUR FD,Hedge Fund,Hedge fund
COMPLUS ASIA RATES DRAGON FUND LTD,Hedge Fund,Hedge fund
